,n_sim,n_p,n_p_f
3767,941,6,1
3768,942,2,1
3769,942,3,2
3770,942,5,2
3771,942,6,1
3772,943,2,1
3773,943,3,1
3774,943,5,1
3775,943,6,1
3776,944,2,1
3777,944,3,1
3778,944,5,1
3779,944,6,1
3780,945,2,1
3781,945,3,1
3782,945,5,1
3783,945,6,1
3784,946,2,1
3785,946,3,1
3786,946,5,1
3787,946,6,1
3788,947,2,1
3789,947,3,2
3790,947,5,2
3791,947,6,1
3792,948,2,1
3793,948,3,1
3794,948,5,2
3795,948,6,2
3796,949,2,1
3797,949,3,1
3798,949,5,1
3799,949,6,1
3800,950,2,1
3801,950,3,2
3802,950,5,1
3803,950,6,1
3804,951,2,1
3805,951,3,1
3806,951,5,2
3807,951,6,1
3808,952,2,1
3809,952,3,2
3810,952,5,2
3811,952,6,1
3812,953,2,2
3813,953,3,2
3814,953,5,2
3815,953,6,1
3816,954,2,1
3817,954,3,1
3818,954,5,1
3819,954,6,1
3820,955,2,2
3821,955,3,1
3822,955,5,2
3823,955,6,1
3824,956,2,1
3825,956,3,1
3826,956,5,2
3827,956,6,1
3828,957,2,2
3829,957,3,1
3830,957,5,1
3831,957,6,1
3832,958,2,2
3833,958,3,1
3834,958,5,1
3835,958,6,1
3836,959,2,1
3837,959,3,2
3838,959,5,2
3839,959,6,2
3840,960,2,1
3841,960,3,1
3842,960,5,1
3843,960,6,2
3844,961,2,2
3845,961,3,1
3846,961,5,2
3847,961,6,2
3848,962,2,2
3849,962,3,1
3850,962,5,1
3851,962,6,1
3852,963,2,1
3853,963,3,1
3854,963,5,2
3855,963,6,1
3856,964,2,2
3857,964,3,1
3858,964,5,1
3859,964,6,1
3860,965,2,1
3861,965,3,2
3862,965,5,1
3863,965,6,2
3864,966,2,1
3865,966,3,1
3866,966,5,1
3867,966,6,2
3868,967,2,1
3869,967,3,2
3870,967,5,1
3871,967,6,1
3872,968,2,2
3873,968,3,1
3874,968,5,1
3875,968,6,1
3876,969,2,2
3877,969,3,1
3878,969,5,2
3879,969,6,2
3880,970,2,1
3881,970,3,2
3882,970,5,2
3883,970,6,1
3884,971,2,1
3885,971,3,1
3886,971,5,1
3887,971,6,1
3888,972,2,2
3889,972,3,1
3890,972,5,1
3891,972,6,1
3892,973,2,2
3893,973,3,1
3894,973,5,1
3895,973,6,1
3896,974,2,2
3897,974,3,2
3898,974,5,2
3899,974,6,2
3900,975,2,1
3901,975,3,1
3902,975,5,1
3903,975,6,1
3904,976,2,1
3905,976,3,2
3906,976,5,1
3907,976,6,2
3908,977,2,1
3909,977,3,1
3910,977,5,2
3911,977,6,2
3912,978,2,2
3913,978,3,1
3914,978,5,1
3915,978,6,1
3916,979,2,2
3917,979,3,2
3918,979,5,1
3919,979,6,1
3920,980,2,2
3921,980,3,2
3922,980,5,1
3923,980,6,1
3924,981,2,1
3925,981,3,1
3926,981,5,1
3927,981,6,2
3928,982,2,2
3929,982,3,1
3930,982,5,1
3931,982,6,2
3932,983,2,1
3933,983,3,1
3934,983,5,2
3935,983,6,1
3936,984,2,2
3937,984,3,1
3938,984,5,1
3939,984,6,1
3940,985,2,1
3941,985,3,1
3942,985,5,1
3943,985,6,1
3944,986,2,1
3945,986,3,1
3946,986,5,1
3947,986,6,1
3948,987,2,1
3949,987,3,1
3950,987,5,2
3951,987,6,1
3952,988,2,1
3953,988,3,1
3954,988,5,2
3955,988,6,2
3956,989,2,1
3957,989,3,1
3958,989,5,1
3959,989,6,1
3960,990,2,1
3961,990,3,1
3962,990,5,1
3963,990,6,1
3964,991,2,2
3965,991,3,1
3966,991,5,1
3967,991,6,1
3968,992,2,2
3969,992,3,1
3970,992,5,1
3971,992,6,1
3972,993,2,1
3973,993,3,1
3974,993,5,1
3975,993,6,1
3976,994,2,1
3977,994,3,2
3978,994,5,1
3979,994,6,1
3980,995,2,2
3981,995,3,1
3982,995,5,1
3983,995,6,1
3984,996,2,2
3985,996,3,2
3986,996,5,1
3987,996,6,2
3988,997,2,2
3989,997,3,1
3990,997,5,1
3991,997,6,1
3992,998,2,1
3993,998,3,1
3994,998,5,1
3995,998,6,1
3996,999,2,2
3997,999,3,1
3998,999,5,1
3999,999,6,2
4000,1000,2,2
4001,1000,3,1
4002,1000,5,2
4003,1000,6,1
4004,1001,2,2
4005,1001,3,2
4006,1001,5,1
4007,1001,6,2
4008,1002,2,2
4009,1002,3,1
4010,1002,5,1
4011,1002,6,1
4012,1003,2,1
4013,1003,3,2
4014,1003,5,1
4015,1003,6,1
4016,1004,2,1
4017,1004,3,1
4018,1004,5,2
4019,1004,6,1
4020,1005,2,1
4021,1005,3,2
4022,1005,5,1
4023,1005,6,2
4024,1006,2,1
4025,1006,3,1
4026,1006,5,1
4027,1006,6,2
4028,1007,2,2
4029,1007,3,1
4030,1007,5,1
4031,1007,6,2
4032,1008,2,1
4033,1008,3,2
4034,1008,5,2
4035,1008,6,2
4036,1009,2,1
4037,1009,3,2
4038,1009,5,2
4039,1009,6,1
4040,1010,2,1
4041,1010,3,2
4042,1010,5,2
4043,1010,6,2
4044,1011,2,1
4045,1011,3,2
4046,1011,5,1
4047,1011,6,2
4048,1012,2,1
4049,1012,3,2
4050,1012,5,2
4051,1012,6,2
4052,1013,2,1
4053,1013,3,1
4054,1013,5,1
4055,1013,6,1
4056,1014,2,1
4057,1014,3,2
4058,1014,5,2
4059,1014,6,1
4060,1015,2,2
4061,1015,3,1
4062,1015,5,1
4063,1015,6,1
4064,1016,2,1
4065,1016,3,1
4066,1016,5,1
4067,1016,6,1
4068,1017,2,1
4069,1017,3,1
4070,1017,5,1
4071,1017,6,1
4072,1018,2,1
4073,1018,3,1
4074,1018,5,2
4075,1018,6,1
4076,1019,2,1
4077,1019,3,1
4078,1019,5,2
4079,1019,6,1
4080,1020,2,1
4081,1020,3,1
4082,1020,5,1
4083,1020,6,1
4084,1021,2,1
4085,1021,3,2
4086,1021,5,1
4087,1021,6,1
4088,1022,2,2
4089,1022,3,2
4090,1022,5,1
4091,1022,6,1
4092,1023,2,1
4093,1023,3,1
4094,1023,5,1
4095,1023,6,2
4096,1024,2,1
4097,1024,3,2
4098,1024,5,2
4099,1024,6,1
4100,1025,2,2
4101,1025,3,1
4102,1025,5,1
4103,1025,6,1
4104,1026,2,1
4105,1026,3,1
4106,1026,5,1
4107,1026,6,1
4108,1027,2,2
4109,1027,3,2
4110,1027,5,1
4111,1027,6,2
4112,1028,2,1
4113,1028,3,1
4114,1028,5,2
4115,1028,6,1
4116,1029,2,2
4117,1029,3,2
4118,1029,5,2
4119,1029,6,1
4120,1030,2,1
4121,1030,3,1
4122,1030,5,1
4123,1030,6,1
4124,1031,2,1
4125,1031,3,1
4126,1031,5,1
4127,1031,6,1
4128,1032,2,2
4129,1032,3,1
4130,1032,5,2
4131,1032,6,2
4132,1033,2,1
4133,1033,3,2
4134,1033,5,1
4135,1033,6,2
4136,1034,2,1
4137,1034,3,2
4138,1034,5,2
4139,1034,6,2
4140,1035,2,1
4141,1035,3,1
4142,1035,5,1
4143,1035,6,2
4144,1036,2,2
4145,1036,3,2
4146,1036,5,2
4147,1036,6,1
4148,1037,2,2
4149,1037,3,1
4150,1037,5,1
4151,1037,6,1
4152,1038,2,1
4153,1038,3,1
4154,1038,5,1
4155,1038,6,2
4156,1039,2,2
4157,1039,3,1
4158,1039,5,2
4159,1039,6,2
4160,1040,2,2
4161,1040,3,1
4162,1040,5,1
4163,1040,6,1
4164,1041,2,1
4165,1041,3,1
4166,1041,5,1
4167,1041,6,2
4168,1042,2,1
4169,1042,3,1
4170,1042,5,1
4171,1042,6,1
4172,1043,2,1
4173,1043,3,2
4174,1043,5,1
4175,1043,6,1
4176,1044,2,1
4177,1044,3,1
4178,1044,5,2
4179,1044,6,2
4180,1045,2,2
4181,1045,3,2
4182,1045,5,1
4183,1045,6,1
4184,1046,2,1
4185,1046,3,1
4186,1046,5,1
4187,1046,6,1
4188,1047,2,1
4189,1047,3,1
4190,1047,5,1
4191,1047,6,1
4192,1048,2,1
4193,1048,3,2
4194,1048,5,1
4195,1048,6,1
4196,1049,2,2
4197,1049,3,2
4198,1049,5,1
4199,1049,6,2
4200,1050,2,2
4201,1050,3,1
4202,1050,5,2
4203,1050,6,1
4204,1051,2,1
4205,1051,3,1
4206,1051,5,1
4207,1051,6,1
4208,1052,2,1
4209,1052,3,2
4210,1052,5,1
4211,1052,6,2
4212,1053,2,1
4213,1053,3,1
4214,1053,5,2
4215,1053,6,1
4216,1054,2,1
4217,1054,3,1
4218,1054,5,2
4219,1054,6,2
4220,1055,2,1
4221,1055,3,2
4222,1055,5,1
4223,1055,6,2
4224,1056,2,1
4225,1056,3,1
4226,1056,5,2
4227,1056,6,1
4228,1057,2,1
4229,1057,3,1
4230,1057,5,1
4231,1057,6,2
4232,1058,2,1
4233,1058,3,2
4234,1058,5,2
4235,1058,6,1
4236,1059,2,2
4237,1059,3,1
4238,1059,5,1
4239,1059,6,1
4240,1060,2,1
4241,1060,3,1
4242,1060,5,1
4243,1060,6,2
4244,1061,2,1
4245,1061,3,1
4246,1061,5,1
4247,1061,6,1
4248,1062,2,1
4249,1062,3,2
4250,1062,5,1
4251,1062,6,2
4252,1063,2,2
4253,1063,3,2
4254,1063,5,2
4255,1063,6,1
4256,1064,2,1
4257,1064,3,2
4258,1064,5,1
4259,1064,6,1
4260,1065,2,2
4261,1065,3,2
4262,1065,5,2
4263,1065,6,2
4264,1066,2,1
4265,1066,3,1
4266,1066,5,2
4267,1066,6,1
4268,1067,2,2
4269,1067,3,1
4270,1067,5,1
4271,1067,6,1
4272,1068,2,1
4273,1068,3,1
4274,1068,5,1
4275,1068,6,2
4276,1069,2,2
4277,1069,3,2
4278,1069,5,2
4279,1069,6,1
4280,1070,2,1
4281,1070,3,1
4282,1070,5,2
4283,1070,6,1
4284,1071,2,2
4285,1071,3,1
4286,1071,5,2
4287,1071,6,1
4288,1072,2,1
4289,1072,3,1
4290,1072,5,1
4291,1072,6,1
4292,1073,2,1
4293,1073,3,1
4294,1073,5,2
4295,1073,6,2
4296,1074,2,1
4297,1074,3,2
4298,1074,5,2
4299,1074,6,2
4300,1075,2,2
4301,1075,3,1
4302,1075,5,2
4303,1075,6,2
4304,1076,2,1
4305,1076,3,2
4306,1076,5,1
4307,1076,6,1
4308,1077,2,1
4309,1077,3,1
4310,1077,5,2
4311,1077,6,2
4312,1078,2,1
4313,1078,3,2
4314,1078,5,1
4315,1078,6,2
4316,1079,2,1
4317,1079,3,1
4318,1079,5,2
4319,1079,6,1
4320,1080,2,1
4321,1080,3,1
4322,1080,5,2
4323,1080,6,1
4324,1081,2,1
4325,1081,3,2
4326,1081,5,2
4327,1081,6,1
4328,1082,2,2
4329,1082,3,1
4330,1082,5,1
4331,1082,6,1
4332,1083,2,1
4333,1083,3,1
4334,1083,5,1
4335,1083,6,1
4336,1084,2,1
4337,1084,3,1
4338,1084,5,1
4339,1084,6,2
4340,1085,2,2
4341,1085,3,2
4342,1085,5,1
4343,1085,6,2
4344,1086,2,1
4345,1086,3,2
4346,1086,5,2
4347,1086,6,1
4348,1087,2,2
4349,1087,3,1
4350,1087,5,2
4351,1087,6,2
4352,1088,2,1
4353,1088,3,2
4354,1088,5,1
4355,1088,6,2
4356,1089,2,1
4357,1089,3,2
4358,1089,5,2
4359,1089,6,2
4360,1090,2,2
4361,1090,3,1
4362,1090,5,2
4363,1090,6,2
4364,1091,2,1
4365,1091,3,1
4366,1091,5,1
4367,1091,6,1
4368,1092,2,1
4369,1092,3,2
4370,1092,5,1
4371,1092,6,1
4372,1093,2,1
4373,1093,3,2
4374,1093,5,2
4375,1093,6,1
4376,1094,2,1
4377,1094,3,1
4378,1094,5,1
4379,1094,6,1
4380,1095,2,1
4381,1095,3,2
4382,1095,5,1
4383,1095,6,2
4384,1096,2,1
4385,1096,3,2
4386,1096,5,2
4387,1096,6,2
4388,1097,2,2
4389,1097,3,2
4390,1097,5,1
4391,1097,6,1
4392,1098,2,1
4393,1098,3,2
4394,1098,5,1
4395,1098,6,2
4396,1099,2,2
4397,1099,3,1
4398,1099,5,2
4399,1099,6,1
4400,1100,2,1
4401,1100,3,1
4402,1100,5,1
4403,1100,6,1
4404,1101,2,2
4405,1101,3,2
4406,1101,5,2
4407,1101,6,1
4408,1102,2,1
4409,1102,3,1
4410,1102,5,1
4411,1102,6,2
4412,1103,2,1
4413,1103,3,1
4414,1103,5,2
4415,1103,6,2
4416,1104,2,2
4417,1104,3,1
4418,1104,5,1
4419,1104,6,1
4420,1105,2,2
4421,1105,3,1
4422,1105,5,1
4423,1105,6,1
4424,1106,2,1
4425,1106,3,2
4426,1106,5,2
4427,1106,6,1
4428,1107,2,1
4429,1107,3,1
4430,1107,5,1
4431,1107,6,2
4432,1108,2,1
4433,1108,3,2
4434,1108,5,1
4435,1108,6,1
4436,1109,2,2
4437,1109,3,1
4438,1109,5,2
4439,1109,6,2
4440,1110,2,2
4441,1110,3,2
4442,1110,5,1
4443,1110,6,1
4444,1111,2,1
4445,1111,3,1
4446,1111,5,1
4447,1111,6,2
4448,1112,2,1
4449,1112,3,1
4450,1112,5,1
4451,1112,6,1
4452,1113,2,1
4453,1113,3,1
4454,1113,5,1
4455,1113,6,1
4456,1114,2,1
4457,1114,3,1
4458,1114,5,1
4459,1114,6,2
4460,1115,2,1
4461,1115,3,1
4462,1115,5,1
4463,1115,6,1
4464,1116,2,1
4465,1116,3,1
4466,1116,5,2
4467,1116,6,1
4468,1117,2,2
4469,1117,3,1
4470,1117,5,1
4471,1117,6,2
4472,1118,2,1
4473,1118,3,2
4474,1118,5,1
4475,1118,6,1
4476,1119,2,2
4477,1119,3,1
4478,1119,5,1
4479,1119,6,1
4480,1120,2,1
4481,1120,3,1
4482,1120,5,1
4483,1120,6,1
4484,1121,2,2
4485,1121,3,1
4486,1121,5,1
4487,1121,6,1
4488,1122,2,1
4489,1122,3,2
4490,1122,5,2
4491,1122,6,1
4492,1123,2,2
4493,1123,3,2
4494,1123,5,1
4495,1123,6,1
4496,1124,2,1
4497,1124,3,1
4498,1124,5,2
4499,1124,6,2
4500,1125,2,1
4501,1125,3,2
4502,1125,5,2
4503,1125,6,1
4504,1126,2,1
4505,1126,3,1
4506,1126,5,1
4507,1126,6,1
4508,1127,2,2
4509,1127,3,1
4510,1127,5,1
4511,1127,6,2
4512,1128,2,1
4513,1128,3,1
4514,1128,5,1
4515,1128,6,2
4516,1129,2,1
4517,1129,3,1
4518,1129,5,2
4519,1129,6,2
4520,1130,2,1
4521,1130,3,1
4522,1130,5,1
4523,1130,6,2
4524,1131,2,2
4525,1131,3,1
4526,1131,5,1
4527,1131,6,1
4528,1132,2,1
4529,1132,3,1
4530,1132,5,1
4531,1132,6,2
4532,1133,2,2
4533,1133,3,1
4534,1133,5,2
4535,1133,6,1
4536,1134,2,2
4537,1134,3,2
4538,1134,5,1
4539,1134,6,1
4540,1135,2,2
4541,1135,3,1
4542,1135,5,1
4543,1135,6,1
4544,1136,2,1
4545,1136,3,2
4546,1136,5,2
4547,1136,6,2
4548,1137,2,1
4549,1137,3,1
4550,1137,5,1
4551,1137,6,2
4552,1138,2,2
4553,1138,3,1
4554,1138,5,1
4555,1138,6,1
4556,1139,2,1
4557,1139,3,1
4558,1139,5,1
4559,1139,6,1
4560,1140,2,2
4561,1140,3,1
4562,1140,5,1
4563,1140,6,2
4564,1141,2,1
4565,1141,3,1
4566,1141,5,2
4567,1141,6,1
4568,1142,2,1
4569,1142,3,2
4570,1142,5,1
4571,1142,6,1
4572,1143,2,1
4573,1143,3,1
4574,1143,5,1
4575,1143,6,2
4576,1144,2,1
4577,1144,3,1
4578,1144,5,1
4579,1144,6,2
4580,1145,2,2
4581,1145,3,1
4582,1145,5,2
4583,1145,6,1
4584,1146,2,1
4585,1146,3,2
4586,1146,5,1
4587,1146,6,1
4588,1147,2,2
4589,1147,3,1
4590,1147,5,1
4591,1147,6,1
4592,1148,2,2
4593,1148,3,2
4594,1148,5,1
4595,1148,6,1
4596,1149,2,2
4597,1149,3,1
4598,1149,5,1
4599,1149,6,1
4600,1150,2,1
4601,1150,3,1
4602,1150,5,1
4603,1150,6,2
4604,1151,2,1
4605,1151,3,2
4606,1151,5,2
4607,1151,6,2
4608,1152,2,2
4609,1152,3,1
4610,1152,5,1
4611,1152,6,2
4612,1153,2,1
4613,1153,3,1
4614,1153,5,1
4615,1153,6,1
4616,1154,2,1
4617,1154,3,1
4618,1154,5,2
4619,1154,6,1
4620,1155,2,1
4621,1155,3,1
4622,1155,5,1
4623,1155,6,2
4624,1156,2,1
4625,1156,3,1
4626,1156,5,1
4627,1156,6,1
4628,1157,2,2
4629,1157,3,1
4630,1157,5,1
4631,1157,6,2
4632,1158,2,1
4633,1158,3,2
4634,1158,5,1
4635,1158,6,2
4636,1159,2,1
4637,1159,3,1
4638,1159,5,1
4639,1159,6,1
4640,1160,2,1
4641,1160,3,1
4642,1160,5,1
4643,1160,6,1
4644,1161,2,1
4645,1161,3,1
4646,1161,5,1
4647,1161,6,1
4648,1162,2,1
4649,1162,3,1
4650,1162,5,1
4651,1162,6,2
4652,1163,2,2
4653,1163,3,2
4654,1163,5,1
4655,1163,6,2
4656,1164,2,2
4657,1164,3,1
4658,1164,5,1
4659,1164,6,1
4660,1165,2,2
4661,1165,3,2
4662,1165,5,2
4663,1165,6,1
4664,1166,2,2
4665,1166,3,1
4666,1166,5,1
4667,1166,6,1
4668,1167,2,2
4669,1167,3,1
4670,1167,5,1
4671,1167,6,1
4672,1168,2,2
4673,1168,3,1
4674,1168,5,2
4675,1168,6,1
4676,1169,2,2
4677,1169,3,2
4678,1169,5,1
4679,1169,6,1
4680,1170,2,1
4681,1170,3,1
4682,1170,5,2
4683,1170,6,2
4684,1171,2,1
4685,1171,3,1
4686,1171,5,1
4687,1171,6,1
4688,1172,2,2
4689,1172,3,1
4690,1172,5,1
4691,1172,6,1
4692,1173,2,1
4693,1173,3,1
4694,1173,5,1
4695,1173,6,2
4696,1174,2,1
4697,1174,3,1
4698,1174,5,2
4699,1174,6,1
4700,1175,2,1
4701,1175,3,1
4702,1175,5,1
4703,1175,6,2
4704,1176,2,2
4705,1176,3,2
4706,1176,5,1
4707,1176,6,2
4708,1177,2,1
4709,1177,3,1
4710,1177,5,1
4711,1177,6,1
4712,1178,2,2
4713,1178,3,2
4714,1178,5,2
4715,1178,6,1
4716,1179,2,1
4717,1179,3,1
4718,1179,5,2
4719,1179,6,1
4720,1180,2,1
4721,1180,3,1
4722,1180,5,2
4723,1180,6,2
4724,1181,2,1
4725,1181,3,1
4726,1181,5,1
4727,1181,6,1
4728,1182,2,2
4729,1182,3,2
4730,1182,5,2
4731,1182,6,1
4732,1183,2,1
4733,1183,3,1
4734,1183,5,1
4735,1183,6,1
4736,1184,2,1
4737,1184,3,2
4738,1184,5,2
4739,1184,6,1
4740,1185,2,1
4741,1185,3,1
4742,1185,5,2
4743,1185,6,2
4744,1186,2,2
4745,1186,3,1
4746,1186,5,1
4747,1186,6,1
4748,1187,2,1
4749,1187,3,1
4750,1187,5,2
4751,1187,6,1
4752,1188,2,2
4753,1188,3,2
4754,1188,5,2
4755,1188,6,1
4756,1189,2,1
4757,1189,3,1
4758,1189,5,1
4759,1189,6,1
4760,1190,2,1
4761,1190,3,1
4762,1190,5,2
4763,1190,6,1
4764,1191,2,1
4765,1191,3,1
4766,1191,5,1
4767,1191,6,1
4768,1192,2,1
4769,1192,3,2
4770,1192,5,1
4771,1192,6,1
4772,1193,2,1
4773,1193,3,1
4774,1193,5,1
4775,1193,6,2
4776,1194,2,1
4777,1194,3,2
4778,1194,5,2
4779,1194,6,1
4780,1195,2,1
4781,1195,3,1
4782,1195,5,2
4783,1195,6,1
4784,1196,2,1
4785,1196,3,1
4786,1196,5,1
4787,1196,6,1
4788,1197,2,1
4789,1197,3,2
4790,1197,5,1
4791,1197,6,1
4792,1198,2,2
4793,1198,3,1
4794,1198,5,1
4795,1198,6,1
4796,1199,2,1
4797,1199,3,1
4798,1199,5,1
4799,1199,6,1
4800,1200,2,1
4801,1200,3,1
4802,1200,5,1
4803,1200,6,1
4804,1201,2,1
4805,1201,3,1
4806,1201,5,1
4807,1201,6,2
4808,1202,2,2
4809,1202,3,1
4810,1202,5,1
4811,1202,6,1
4812,1203,2,2
4813,1203,3,1
4814,1203,5,2
4815,1203,6,2
4816,1204,2,2
4817,1204,3,2
4818,1204,5,1
4819,1204,6,1
4820,1205,2,1
4821,1205,3,1
4822,1205,5,1
4823,1205,6,2
4824,1206,2,1
4825,1206,3,2
4826,1206,5,2
4827,1206,6,2
4828,1207,2,1
4829,1207,3,1
4830,1207,5,2
4831,1207,6,1
4832,1208,2,1
4833,1208,3,2
4834,1208,5,2
4835,1208,6,2
4836,1209,2,1
4837,1209,3,1
4838,1209,5,1
4839,1209,6,2
4840,1210,2,2
4841,1210,3,1
4842,1210,5,1
4843,1210,6,1
4844,1211,2,2
4845,1211,3,1
4846,1211,5,1
4847,1211,6,2
4848,1212,2,1
4849,1212,3,1
4850,1212,5,2
4851,1212,6,1
4852,1213,2,1
4853,1213,3,2
4854,1213,5,1
4855,1213,6,1
4856,1214,2,1
4857,1214,3,2
4858,1214,5,1
4859,1214,6,1
4860,1215,2,2
4861,1215,3,1
4862,1215,5,2
4863,1215,6,1
4864,1216,2,2
4865,1216,3,2
4866,1216,5,2
4867,1216,6,1
4868,1217,2,1
4869,1217,3,1
4870,1217,5,2
4871,1217,6,1
4872,1218,2,1
4873,1218,3,1
4874,1218,5,1
4875,1218,6,1
4876,1219,2,1
4877,1219,3,1
4878,1219,5,2
4879,1219,6,2
4880,1220,2,1
4881,1220,3,1
4882,1220,5,1
4883,1220,6,1
4884,1221,2,1
4885,1221,3,1
4886,1221,5,1
4887,1221,6,2
4888,1222,2,1
4889,1222,3,2
4890,1222,5,2
4891,1222,6,1
4892,1223,2,1
4893,1223,3,1
4894,1223,5,1
4895,1223,6,1
4896,1224,2,1
4897,1224,3,1
4898,1224,5,1
4899,1224,6,1
4900,1225,2,1
4901,1225,3,1
4902,1225,5,2
4903,1225,6,1
4904,1226,2,1
4905,1226,3,1
4906,1226,5,2
4907,1226,6,2
4908,1227,2,2
4909,1227,3,1
4910,1227,5,1
4911,1227,6,2
4912,1228,2,2
4913,1228,3,1
4914,1228,5,2
4915,1228,6,2
4916,1229,2,2
4917,1229,3,1
4918,1229,5,1
4919,1229,6,1
4920,1230,2,1
4921,1230,3,1
4922,1230,5,1
4923,1230,6,1
4924,1231,2,2
4925,1231,3,1
4926,1231,5,1
4927,1231,6,1
4928,1232,2,1
4929,1232,3,1
4930,1232,5,1
4931,1232,6,2
4932,1233,2,2
4933,1233,3,2
4934,1233,5,2
4935,1233,6,2
4936,1234,2,1
4937,1234,3,1
4938,1234,5,1
4939,1234,6,1
4940,1235,2,1
4941,1235,3,1
4942,1235,5,1
4943,1235,6,1
4944,1236,2,1
4945,1236,3,2
4946,1236,5,1
4947,1236,6,1
4948,1237,2,2
4949,1237,3,1
4950,1237,5,2
4951,1237,6,1
4952,1238,2,2
4953,1238,3,1
4954,1238,5,1
4955,1238,6,2
4956,1239,2,2
4957,1239,3,1
4958,1239,5,1
4959,1239,6,1
4960,1240,2,1
4961,1240,3,1
4962,1240,5,2
4963,1240,6,2
4964,1241,2,1
4965,1241,3,1
4966,1241,5,1
4967,1241,6,1
4968,1242,2,2
4969,1242,3,2
4970,1242,5,2
4971,1242,6,1
4972,1243,2,2
4973,1243,3,1
4974,1243,5,2
4975,1243,6,2
4976,1244,2,2
4977,1244,3,1
4978,1244,5,2
4979,1244,6,1
4980,1245,2,2
4981,1245,3,1
4982,1245,5,1
4983,1245,6,2
4984,1246,2,1
4985,1246,3,1
4986,1246,5,1
4987,1246,6,1
4988,1247,2,1
4989,1247,3,1
4990,1247,5,1
4991,1247,6,1
4992,1248,2,2
4993,1248,3,1
4994,1248,5,1
4995,1248,6,2
4996,1249,2,1
4997,1249,3,2
4998,1249,5,1
4999,1249,6,1
5000,1250,2,2
5001,1250,3,2
5002,1250,5,2
5003,1250,6,2
5004,1251,2,2
5005,1251,3,1
5006,1251,5,2
5007,1251,6,1
5008,1252,2,1
5009,1252,3,2
5010,1252,5,2
5011,1252,6,2
5012,1253,2,2
5013,1253,3,2
5014,1253,5,2
5015,1253,6,1
5016,1254,2,1
5017,1254,3,2
5018,1254,5,1
5019,1254,6,2
5020,1255,2,2
5021,1255,3,1
5022,1255,5,2
5023,1255,6,2
5024,1256,2,1
5025,1256,3,1
5026,1256,5,1
5027,1256,6,1
5028,1257,2,1
5029,1257,3,1
5030,1257,5,1
5031,1257,6,2
5032,1258,2,2
5033,1258,3,1
5034,1258,5,1
5035,1258,6,1
5036,1259,-1,-1
5037,1259,3,3
5038,1259,5,2
5039,1259,6,2
5040,1260,2,1
5041,1260,3,2
5042,1260,5,1
5043,1260,6,2
5044,1261,2,1
5045,1261,3,2
5046,1261,5,2
5047,1261,6,1
5048,1262,2,1
5049,1262,3,1
5050,1262,5,1
5051,1262,6,1
5052,1263,2,1
5053,1263,3,2
5054,1263,5,2
5055,1263,6,2
5056,1264,2,1
5057,1264,3,1
5058,1264,5,2
5059,1264,6,2
5060,1265,2,1
5061,1265,3,2
5062,1265,5,1
5063,1265,6,1
5064,1266,2,1
5065,1266,3,1
5066,1266,5,2
5067,1266,6,2
5068,1267,2,2
5069,1267,3,2
5070,1267,5,2
5071,1267,6,1
5072,1268,2,1
5073,1268,3,2
5074,1268,5,1
5075,1268,6,2
5076,1269,2,2
5077,1269,3,1
5078,1269,5,2
5079,1269,6,2
5080,1270,2,2
5081,1270,3,1
5082,1270,5,2
5083,1270,6,2
5084,1271,2,2
5085,1271,3,1
5086,1271,5,1
5087,1271,6,1
5088,1272,2,2
5089,1272,3,1
5090,1272,5,2
5091,1272,6,2
5092,1273,2,2
5093,1273,3,1
5094,1273,5,1
5095,1273,6,1
5096,1274,-1,-1
5097,1274,3,2
5098,1274,5,1
5099,1274,6,2
5100,1275,2,1
5101,1275,3,2
5102,1275,5,1
5103,1275,6,2
5104,1276,2,1
5105,1276,3,2
5106,1276,5,1
5107,1276,6,1
5108,1277,2,1
5109,1277,3,1
5110,1277,5,2
5111,1277,6,2
5112,1278,2,2
5113,1278,3,1
5114,1278,5,2
5115,1278,6,2
5116,1279,2,2
5117,1279,3,2
5118,1279,5,2
5119,1279,6,1
5120,1280,2,1
5121,1280,3,1
5122,1280,5,2
5123,1280,6,2
5124,1281,2,1
5125,1281,3,2
5126,1281,5,1
5127,1281,6,1
5128,1282,2,2
5129,1282,3,2
5130,1282,5,1
5131,1282,6,2
5132,1283,2,1
5133,1283,3,1
5134,1283,5,2
5135,1283,6,2
5136,1284,2,2
5137,1284,3,2
5138,1284,5,2
5139,1284,6,2
5140,1285,2,2
5141,1285,3,2
5142,1285,5,2
5143,1285,6,2
5144,1286,2,2
5145,1286,3,2
5146,1286,5,1
5147,1286,6,1
5148,1287,2,1
5149,1287,3,2
5150,1287,5,1
5151,1287,6,2
5152,1288,2,1
5153,1288,3,2
5154,1288,5,1
5155,1288,6,2
5156,1289,2,1
5157,1289,3,2
5158,1289,5,1
5159,1289,6,1
5160,1290,2,1
5161,1290,3,1
5162,1290,5,2
5163,1290,6,2
5164,1291,2,1
5165,1291,3,2
5166,1291,5,1
5167,1291,6,1
5168,1292,2,1
5169,1292,3,2
5170,1292,5,1
5171,1292,6,2
5172,1293,2,1
5173,1293,3,2
5174,1293,5,1
5175,1293,6,1
5176,1294,2,2
5177,1294,3,1
5178,1294,5,1
5179,1294,6,1
5180,1295,2,2
5181,1295,3,2
5182,1295,5,1
5183,1295,6,2
5184,1296,2,2
5185,1296,3,1
5186,1296,5,1
5187,1296,6,2
