,p_ab_per,t,p_l,p_ab
0,0.25,0.0,0,0.25
1,0.2473922803849516,0.17933973948990745,0,0.24645126194671038
2,0.21763673081780865,1.972737134388982,0,0.2089783030677543
3,0.07290087014668481,10.290149621681236,0,0.06283352175676113
4,0.023041694691084566,17.222911499512875,0,0.020244687011387583
5,0.008127295054919374,24.155673377344513,0,0.007418288027191822
6,0.0033785324922925037,31.694347063637068,0,0.0030566530854190758
7,0.0016418702045387142,42.007937874609915,0,0.0013160223458173479
8,0.0014914878050639123,44.60316634176921,0,0.0011357946299673375
9,0.0013988628992020254,47.198394808928505,0,0.0010039332707335842
10,0.0013471110721175012,52.460188628108924,0,0.0008366343451896073
11,0.001382330893594303,55.07415842087519,0,0.000790256811186636
12,0.0014567167215107943,57.68812821364146,0,0.0007606043274298952
13,0.0016605049374780153,61.76410639879614,0,0.0007426856312873341
14,0.001882710347262932,64.6113710524538,0,0.0007488313680669929
15,0.0021888888466045416,67.45863570611147,0,0.0007685698824505267
16,0.002692715127419839,70.8283426378957,0,0.0008094947032041993
17,0.0032453031766264853,73.51188899537694,0,0.0008559729722040924
18,0.0039757751835129964,76.19543535285817,0,0.0009156214920373049
19,0.00508408449838762,79.22090577061901,0,0.0010004340508925288
20,0.006445688558522373,81.96244342564455,0,0.0010945500163311165
21,0.008266623982825773,84.70398108067009,0,0.0012068688484321284
22,0.010777233548074791,87.5163749373815,0,0.001343101227121857
23,0.014084788819319245,90.26740716488204,0,0.0014988191011375677
24,0.01824125813868436,92.86096025118314,0,0.001668551216233784
25,0.023516519006890765,95.36669357378966,0,0.0018566052973765755
26,0.030619118414373498,97.9454849260046,0,0.002077302773834309
27,0.040492013221325715,100.66623077174478,0,0.0023427843720742587
28,0.05360105135131059,103.40334745888846,0,0.0026474927475340884
29,0.06961690568908034,105.97464228968742,0,0.0029744291800181577
30,0.08860286754038797,108.3809173405716,0,0.0033216368616954665
31,0.1123612186907572,110.81092997866708,0,0.003714626335192703
32,0.14380942910238065,113.4315609981415,0,0.004192252366768482
33,0.18371793909806666,116.17923939190419,0,0.004763189338262121
34,0.22819468699964607,118.79636377312107,0,0.005383201199665979
35,0.27297089806965125,121.16171273466263,0,0.006007442156891597
36,0.3182931663773281,123.45013191894157,0,0.006684334752338411
37,0.36565588926425485,125.93698862231865,0,0.00751936869412661
38,0.4074922693694535,128.69687654834487,0,0.00857303848145972
39,0.4236606589292801,131.46927266322135,0,0.00978350080340859
40,0.40038332535495036,133.98536892332507,0,0.011044625451950117
41,0.33636214113631885,136.38653958728167,0,0.012383885948674591
42,0.23218252343204673,139.0755029501214,0,0.014051904029312706
43,0.12025784575568046,142.2458273252918,0,0.016306989635453892
44,0.06221962499125838,144.89150743949045,0,0.018422597019507922
45,0.031202924182017224,147.5371875536891,0,0.02074790180137913
46,0.014884622430505139,150.42535783701814,0,0.02354660240614342
47,0.00728509323110967,153.3817238572747,0,0.02672898492707289
48,0.003976984140946465,156.103363793385,0,0.029913053893376885
49,0.0024084584531635063,158.578109820109,0,0.03302824913641099
50,0.0015116056495847593,161.11927806335092,0,0.03643802997619435
51,0.0009430762135654046,164.034511138639,0,0.040504187394446056
52,0.0006056439068208473,167.25642971645829,0,0.045468841487676104
53,0.0004465866186981177,169.94412645677872,0,0.04991661038844006
54,0.00034853572305195644,172.63182319709915,0,0.054714487291340146
55,0.00028003455355112917,175.74679024179287,0,0.060998458267737976
56,0.00023794902753345427,179.2542533718807,0,0.06949078198669183
57,0.00022113150598423873,182.2741604055861,0,0.07885455349755524
58,0.00021708826255233533,185.29406743929147,0,0.09109479859392249
59,0.00022518244805203302,188.72302335546797,0,0.10963954530863057
60,0.0002491411385387066,192.55049741397045,0,0.13657261008237523
61,0.00028446939024735286,195.931118432533,0,0.1638559501463707
62,0.00033496207395650423,199.31173945109555,0,0.19213434487891287
63,0.0004114237349342429,203.02233624631742,0,0.22202856377281044
64,0.0005238100863542884,206.98237544207427,0,0.25215949751601946
65,0.000652898055559498,210.35528324484537,0,0.2769364701461231
66,0.0008217601895969456,213.72819104761646,0,0.301076119160819
67,0.0010707901677971033,217.46929434817034,0,0.3259015348079001
68,0.00142633785045536,221.37593346524343,0,0.3459827771492167
69,0.0017924618760325247,224.3579855560118,0,0.35279657131959735
70,0.0022679394614531726,227.3400376467802,0,0.3447429461202598
71,0.003034636410036235,230.90855788433305,0,0.30497835341519525
72,0.004007763910863519,234.18485994004268,0,0.2381694020728608
73,0.005347879809961434,237.46116199575232,0,0.16006092311568987
74,0.007153811501955931,240.652761470475,0,0.09656850391120118
75,0.009398774502000756,243.5495072217286,0,0.05788350306316509
76,0.012170909785871011,246.21987495334125,0,0.03579046624240681
77,0.015912438729735023,248.9342799650627,0,0.02230020329302943
78,0.021369389537817803,251.87026540559046,0,0.013852576121627385
79,0.02903395865098491,254.8834318225935,0,0.008898384744926512
80,0.03731126320932743,257.31790210788853,0,0.006452437826012797
81,0.0479560152140857,259.7523723931836,0,0.004832245295102612
82,0.06401218017693946,262.57012898363234,0,0.003602552996427179
83,0.08437401471515396,265.2969797400921,0,0.0028253199693213035
84,0.11055557559485228,268.0238304965519,0,0.002301629363114828
85,0.14214118406154208,270.6400333408065,0,0.0019532780112143243
86,0.17784486191284202,273.068521924838,0,0.0017231915721188625
87,0.2186916543355631,275.4326046620667,0,0.001563571347535303
88,0.26766667688031104,277.91890591759443,0,0.0014419759192503014
89,0.3249753961749476,280.5643703647172,0,0.001356903696461121
90,0.3836767845768553,283.17967306510127,0,0.0013079600413573747
